zone_id,monitored_or_unmonitored,station_count,raw_observation_count,training_rows,validation_rows,test_rows,total_supervised_rows,test_MAE,test_RMSE,test_R2,test_bias,test_sample_count,prediction_available,kriging_available
ZONE-LHR-0168,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0169,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0170,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0171,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0172,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0173,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0174,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0175,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0176,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0177,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0178,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0179,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0180,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0181,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0182,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0183,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0184,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0185,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0186,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0187,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0188,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0189,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0190,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0191,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0192,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0193,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0194,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0195,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0196,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0197,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0198,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0199,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0200,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0201,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0202,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0203,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0204,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0205,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0206,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0207,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0208,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0209,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0210,Monitored Physical Station,1,219,125,0,78,203,13.4,16.37,0.124,1.37,78,True,True
ZONE-LHR-0211,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0212,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0213,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0214,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0215,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0216,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
ZONE-LHR-0217,Unmonitored / Spatial Kriging Target,0,0,0,0,0,0,N/A,N/A,N/A,N/A,0,True,True
